mode,k,k_squared,ref_initial_real,ref_initial_imag,pred_initial_real,pred_initial_imag,initial_complex_abs_error,final_complex_abs_error,mean_complex_abs_error_over_time,relative_complex_error_over_time,ref_final_amplitude,pred_final_amplitude,final_amplitude_ratio_pred_over_ref,exact_vs_reference_relative_error_by_mode,fitted_decay_rate,decay_rate_error,valid_decay_fit
10,1.5707963267948966,2.4674011002723395,6.771719124745782,1.3877787807814457e-15,6.771725116797745,-1.5020519735312732e-06,6.17744662974208e-06,0.00032163088794443775,0.0011310724465620002,0.001657549383762815,2.9703356236232655e-05,0.0003513325621623925,11.82804257432132,8.401271749635782e-16,2.2848766220451915,-0.182524478227148,True
11,1.7278759594743864,2.9855553313295315,-5.305797083665271,3.3306690738754696e-16,-1.234471976757049,8.344650271954746e-07,4.071325106908308,2.9956727337843924e-06,0.4588090623852705,0.8363023922988883,1.7446150226710697e-06,1.4067201281806291e-06,0.8063212284088261,8.636383375218823e-16,3.2546708389328463,0.2691155076033147,True
12,1.884955592153876,3.5530575843921697,4.152722013629521,0.0,4.152735846082923,-2.0263051277447097e-06,1.398008152950528e-05,9.570496390047465e-05,0.00040858338465972184,0.0011924586794002355,7.997722789844888e-08,9.574952723581709e-05,1197.2098777591427,1.0563672297289949e-15,2.2810310339314754,-1.2720265504606942,True
13,2.0420352248333655,4.169907859460253,-3.248085443256918,-6.38378239159465e-16,-3.2480928832919322,6.16396043414541e-06,9.661704262473966e-06,0.0001717965618139873,0.0006292686928362524,0.0029598955756898987,2.86277828464627e-09,0.0001717993735577713,60011.41425417761,2.2191321878509924e-15,2.091228402824412,-2.0786794566358413,True
14,2.199114857512855,4.836106156533785,2.5394871616500927,-5.551115123125783e-17,2.539488345767685,-8.467832781974618e-06,8.550223768722665e-06,0.00029109944810934684,0.0006719743925573565,0.004018979452732428,8.003413850811113e-11,0.00029109952607191586,3637191.9720534524,3.1153224800310352e-15,1.7315510695402185,-3.1045550869935665,True
15,2.356194490192345,5.551652475612764,-1.9849840395898293,1.1102230246251565e-15,-0.06238434556871686,1.2647360596524174e-06,1.9225996940215284,0.06238434557978766,0.12301423284769007,0.9654135021070294,1.7488490035902122e-12,0.062384345581536514,35671659161.80739,5.393327602377161e-15,-8.089902471894421e-16,-5.551652475612765,True
16,2.5132741228718345,6.316546816697189,1.55132311511931,-2.498001805406602e-16,1.5513091721107841,-0.00020380874655900882,0.00020428512589174927,0.0003788240656132124,0.0006002030291863537,0.0041812238178075304,3.01243655696384e-14,0.00037882406558369455,12575337552.187386,4.842089801971663e-15,1.2053170202058758,-5.111229796491313,True
17,2.6703537555513246,7.1307891797870635,-1.2122923680185376,1.3600232051658168e-15,-1.212264679527608,3.230383291680933e-05,4.254632946551127e-05,7.519259960678672e-05,0.0009536632491304084,0.022219932693614025,1.368552987679462e-15,7.519259960711948e-05,54943140882.41269,1.0299663175503365e-14,1.377897062674726,-5.752892117112338,True
18,2.827433388230814,7.994379564882379,0.9473008745475033,-7.840950111415168e-16,0.9472984265441162,7.551943997618853e-06,7.938802097188648e-06,0.0004306765035983761,0.000678797682095683,0.012843789893797475,9.957266247243554e-16,0.0004306765035985409,432524844575.45166,8.617147397739464e-15,0.907404010051426,-7.086975554830953,True
19,2.9845130209103035,8.907317971983145,-0.7402076249741972,-1.6688039838896884e-15,-0.7401753358337121,-1.341052694579098e-05,3.496327825287949e-05,0.0003909720548839367,0.0008147123596946874,0.02512934553928891,4.161956162674812e-16,0.0003909720548838915,939394937385.9359,1.0207818189176902e-14,0.8388421409726167,-8.06847583101053,True
